Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Inference (ms),Training (s)
RandomForest,99.49583290461982,99.49822513186699,99.49583290461982,99.4966411415576,99.9645062848802,0.006518303605923622,1.5941739082336426
XGBoost,99.6295915217615,99.63449429205103,99.6295915217615,99.63069454010889,99.97903729248463,0.0015436738272583625,0.7206816673278809
NeuralNetwork,96.54285420310732,97.00342946341894,96.54285420310732,96.64259202673182,99.72949295314592,0.0018524478426047322,13.762800216674805
